"","sciname","SpecCode","IUCN_Code","Resilience","BodyShapeI","DemersPelag","DepthRangeShallow","DepthRangeDeep","LongevityWild","Vulnerability","Length","CommonLength","Weight","Importance","PriceCateg","PriceReliability","Aquarium","AquariumFishII","Comments"
"568","Suezichthys cyanolaemus",4411,"LC","High","elongated","demersal",6,6,NA,22.42,9.7,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Inhabits coral reef and rock reef (Ref. 75154)."
"569","Suezichthys devisi",56981,"LC","High","elongated","reef-associated",5,30,NA,23.86,14,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Occurs inshore (Ref. 75154).  Found in coastal bays, estuaries, and on sand near reefs (Ref. 9002)."
"570","Suezichthys gracilis",4407,"LC","High","elongated","reef-associated",NA,NA,NA,25.07,16,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Found around coral and rock patches in shallow protected sandy areas (Ref. 9710).  Amphipods, small crustaceans, and polychaetes have been reported from the stomachs of Japanese specimens."
"571","Suezichthys notatus",4410,"LC","High","elongated","benthopelagic",119,272,NA,28.7,14.2,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Occurs in deep shelf waters (Ref. 530)."
"572","Suezichthys ornatus",58373,"LC","High","fusiform / normal","pelagic-neritic",NA,NA,NA,10,3.87,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,NA
"573","Suezichthys rosenblatti",67040,"N.E.","High","elongated","reef-associated",10,15,NA,14.21,7.77,NA,NA,NA,NA,NA,"never/rarely",NA,NA
"574","Suezichthys russelli",4413,"DD","High","elongated","demersal",NA,NA,NA,13.79,7.5,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,NA
"575","Suezichthys soelae",4408,"LC","High","elongated","demersal",32,75,NA,23.43,10.3,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Found on the continental shelf (Ref. 75154)."
"576","Symphodus bailloni",9186,"LC","Medium","fusiform / normal","reef-associated",1,50,NA,34.69,20,18,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Adults inhabit the littoral zone in seagrass beds and around rocks (Ref. 5292).  Oviparous, distinct pairing during breeding (Ref. 205).  Males build dish shaped nests and guard the eggs (Ref. 205)."
"577","Symphodus cinereus",1791,"LC","Medium","fusiform / normal","demersal",NA,NA,6,27.17,16,8,NA,"subsistence fisheries","very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Found in littoral areas, in eel-grass beds, sometimes on soft bottoms (1-20 m), often in lagoons and estuaries with plenty of vegetation and detritus (Ref. 4742).  Often in aggregation (Ref. 4742).  Feed on shrimps, amphipods, isopods, small gastropods and bivalves (Ref. 4742).  Females spawn in a nest built and guarded by the male (Ref. 4742).  Males grow faster than females (Ref. 4742).  Oviparous (Ref. 205)."
"578","Symphodus doderleini",54573,"LC","High","fusiform / normal","demersal",2,40,NA,22.58,10,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Adults inhabit eel-grass beds (Ref. 4742).  Feed on bryozoans, worms, small mollusks, and amphipods (Ref. 4742).  Oviparous, distinct pairing during breeding (Ref. 205).  Males build dish shaped nests and guard the eggs (Ref. 205)."
"579","Symphodus mediterraneus",4578,"LC","Medium","fusiform / normal","demersal",1,50,8,22.54,18,12,NA,"subsistence fisheries","very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Adults are found mainly in eel-grass beds.  Often in pairs.  Males nest-makers.  Feed mainly on mollusks, gastropods, bivalves, tubicolous worms, chitons, sea urchins and bryozoans (Ref. 4742).  Oviparous, distinct pairing during breeding (Ref. 205)."
"580","Symphodus melanocercus",16339,"LC","High","fusiform / normal","reef-associated",1,25,NA,23.86,14,11,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Adults are found in the littoral zone, in rocky areas and seagrass beds.  Act as ""cleaners"".  Feed on worms, small amphipods, copepods, bryozoans and hydrozoans (Ref. 4742).  Males keep watch over <i>Cystoseria</i>-covered spawning territory though no nesting is done (Ref. 4742).  Oviparous, distinct pairing during breeding (Ref. 205).  Males build dish shaped nests and guard the eggs (Ref. 205)."
"581","Symphodus melops",59,"LC","Medium","fusiform / normal","reef-associated",NA,NA,9,33.97,28,20,NA,"subsistence fisheries","very high","Very questionable: based on ex-vessel price for species in this family","public aquariums","based mainly on capture","This schooling, territorial fish occurs in the littoral zone, near rocks and eel-grass beds, also in lagoons.  In summer ripe females show short ovipositor.  Seaweed nest built by male among rocks or in crevices.  Sex reversal sometimes observed.  Feed on mollusks, hydroids, bryozoans, worms and various crustaceans (Ref. 4742).  Males grow faster than females (Ref. 4742).  Oviparous, distinct pairing during breeding (Ref. 205)."
"582","Symphodus ocellatus",1792,"LC","Medium","fusiform / normal","reef-associated",1,30,5,14.37,12,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Adults are found near rocks and eel-grass beds.  A nest of seaweed (<i>Cystoseria</i>) built and kept by male.  Feed on bryozoans, hydroids, tubicolous, worms, shrimps, amphipods and mollusks.  Males grow faster than females (Ref. 4742).  Undergoes sex reversal (Ref. 4742).  Oviparous, distinct pairing during breeding (Ref. 205)."
"583","Symphodus roissali",1709,"LC","Medium","fusiform / normal","reef-associated",1,30,8,31.12,17,12,NA,"subsistence fisheries","very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Adults are found near rocks, mainly in eel-grass beds (Ref. 4742).  Mainly solitary (Ref. 4742).  Nest of seaweed built by male (Ref. 4742).  Feed on mollusks, bivalves, gastropods, shrimps, sea-urchins and hydroids (Ref. 4742).  Males grow faster than females (Ref. 4742).  Oviparous, distinct pairing during breeding (Ref. 205)."
"584","Symphodus rostratus",4580,"LC","Medium","fusiform / normal","reef-associated",1,50,4,20.2,13,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Adults are found near rocks, mainly in eel-grass beds.  Adhesive eggs laid by one or more female in nest of algae built by male (Ref. 4742).  Males grow faster than females (Ref. 4742).  Oviparous (Ref. 205)."
"585","Symphodus tinca",1708,"LC","Medium","fusiform / normal","reef-associated",1,50,15,36.58,44,25,NA,"subsistence fisheries","very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Adults are found near rocks mainly in eel-grass beds, sometimes in salty lagoons.  Often gregarious.  Oviparous (Ref. 205).  Nest of seaweed built and kept by male with one or more females spawning.  Feed on sea urchins, ophiuroids, bivalves, shrimps and crabs (Ref. 4742).  Rate of growth is slow (Ref. 4742).  Undergoes sex reversal (Ref. 4742)."
"586","Tautoga onitis",458,"VU","Low","fusiform / normal","reef-associated",1,75,34,69.45,91,NA,11330,"minor commercial","very high","Reliable: based on ex-vessel price for this species","public aquariums",NA,"Found close to shore on hard-bottom habitats, occasionally entering brackish water.  Adult male territorial and active during the day to feed and rests in crevices at night.  Prefers temperatures above 10°C.  Spawning was noted in June-July in Canadian waters, but appears more protracted (April-July) in coastal waters of Virginia, USA.  Feeds mainly on mussels, gastropods, other mollusks and crustaceans.  This species has gained popularity as a prized food and sport fish (Ref. 6486, 4926, 41297).  Investigation on the diel and seasonal activity patterns of the adult tautog in its southern range were conducted using ultrasonic telemetry (Ref. 41297)."
"587","Tautogolabrus adspersus",3672,"LC","Medium","fusiform / normal","reef-associated",10,128,6,43.14,38,NA,1000,NA,"very high","Reliable: based on ex-vessel price for this species","commercial","based mainly on capture","Inhabits shallow, inshore waters, living on or near the bottom, often congregating in masses around wharves, wrecks and submerged seaweed.  During winter they become torpid and remain inshore under rocks in shallow water (Ref. 5951)."
"588","Terelabrus rubrovittatus",59475,"LC","High","elongated","demersal",50,100,NA,21.88,12,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Deep coastal to outer reef habitats.  First found in about 100 m, specimens have since been found much shallower and ranging as far north as Japan.  A second new species in the genus was recently found in the Maldives (Ref. 48636)."
"589","Thalassoma amblycephalum",5642,"LC","Medium","fusiform / normal","reef-associated",1,15,NA,30.68,16,NA,NA,"of no interest",NA,NA,"commercial","based mainly on capture","Occurs in aggregations over shallow lagoon and seaward reefs (Ref. 9710) and on reef flats (Ref. 9823).  Feeds mainly on crustacean zooplankton (Ref. 1602).  Spawns at dusk above reefs (Ref. 90102).  Rarely marketed (Ref. 2334)."
"590","Thalassoma ascensionis",22521,"DD","High",NA,"reef-associated",NA,50,NA,22.58,10,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Littoral, near rocks and seagrass (Ref. 5292).  Protogynous hermaphrodite, with distinct sexual dichromatism (Ref. 5292)."
"591","Thalassoma ballieui",7771,"LC","Medium","fusiform / normal","reef-associated",1,60,NA,39.23,39.5,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Inhabits clear lagoon and seaward reefs (Ref. 9710).  Benthopelagic over coral and rocks (Ref. 58302).  Feeds on benthic invertebrates and small fishes (Ref. 9710)."
"592","Thalassoma bifasciatum",3673,"LC","High","fusiform / normal","reef-associated",0,40,3,19.56,25,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Inhabits reef areas, inshore bays and seagrass beds.  Feeds mainly on zooplankton and small benthic animals, but may also feed on ectoparasites of other fishes (Ref. 9626).  Spawn at midday throughout the year (Ref. 26938).  A protogynous hermaphrodite (Ref. 55367).  Generally of no interest to fisheries because of its small average size (Ref. 5217)."
"593","Thalassoma cupido",6587,"LC","Medium",NA,"demersal",NA,NA,NA,28.88,20,14,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Commercially cultured in Japan."
"594","Thalassoma duperrey",7770,"LC","High","fusiform / normal","reef-associated",1,NA,NA,19.88,28,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Occur in clear lagoon and seaward reefs (Ref. 9710).  Benthopelagic over coral, rock and rubble (Ref. 58302).  Feed mainly on benthic animals.  Juveniles and adults sometimes act as cleaners (Ref. 9710).  Spawning occur either in aggregations by fish in the initial color phase or in pairs, typically with the terminal male being much larger than the female."
"595","Thalassoma genivittatum",25809,"LC","Medium","fusiform / normal","reef-associated",0,NA,NA,28.88,20,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","commercial",NA,"Usually found in small groups in rocky reefs with little coral cover (Ref. 9710)."
"596","Thalassoma grammaticum",13822,"LC","Medium","fusiform / normal","reef-associated",3,42,NA,35.6,32,NA,NA,"of no interest",NA,NA,"never/rarely",NA,"A solitary species (Ref. 5227) found in reefs subjected to surges (Ref. 9311).  Moves over great distances to feed on hard-shelled invertebrates (Ref. 9311)."
"597","Thalassoma hardwicke",5643,"LC","High","fusiform / normal","reef-associated",0,15,NA,13.88,20,15,NA,"minor commercial","very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Occurs in shallow lagoon and seaward reefs, slopes and along drop-offs to moderate depths.  Occurs in small, loose groups (Ref. 48636).  Feeds on benthic and planktonic crustaceans, small fishes, and foraminiferans."
